Datum;Klantnaam;Klachtadres;Klachtadres PC4;Klachtadres-Plaats;Registratieweek;Product / Dienst;Route
donderdag 11 maart 2021;Niet toegewezen;J.P.C. Leinweberstraat 6;3905 EJ;VEENENDAAL;10.2021;Oranje brievenbus;ED-5102
donderdag 11 maart 2021;Dynamo Retail B.V.;Spaceshuttle 22;3824 ML;AMERSFOORT;10.2021;Hulpmiddelen - Logistiek;
vrijdag 12 maart 2021;Gemeente Scherpenzeel;STATIONSWEG 389 A;3925 CC;SCHERPENZEEL GLD;10.2021;Brengservice;ED-1051
vrijdag 12 maart 2021;GGD Noord- en Oost-Gelderland;OOSTEINDE 17;3842 DR;HARDERWIJK;10.2021;Haalservice;AMF-5005
maandag 15 maart 2021;HAVI Logistics B.V.;De Zonnecel 30;3815 KN;AMERSFOORT;11.2021;Haalservice;AMF-4007
maandag 15 maart 2021;Royal Topzorg B.V.;Maanlander 43;3824 MN;AMERSFOORT;11.2021;Haalservice;AMF-8004
maandag 15 maart 2021;Primera Eemnes;Laarderweg 24 G;3755 AN;EEMNES;11.2021;Haalservice Retailer;
maandag 15 maart 2021;Drukkerij van de Ridder B.V.;Patroonstraat 13;3861 RN;NIJKERK GLD;11.2021;Hulpmiddelen - Logistiek;
maandag 15 maart 2021;Stichting 's Heeren Loo Zorggroep;Watertoren 8;3853 HT;ERMELO;11.2021;Haalservice Retailer;
dinsdag 16 maart 2021;Simac IT NL B.V.;Postbus 141;6710 BC;EDE GLD;11.2021;Brengservice;ED-1153
dinsdag 16 maart 2021;Office Centre;Modemweg 1;3821 BS;AMERSFOORT;11.2021;Hulpmiddelen - Logistiek;
woensdag 17 maart 2021;Aeres MBO Barneveld;Barnseweg 3;3771 RN;BARNEVELD;11.2021;Haalservice;ED-5007
woensdag 17 maart 2021;Verzekeringsadviesbureau van Egdom B.V.;Hoofdweg 8;6744 WL;EDERVEEN;11.2021;Brengservice;ED-1102
woensdag 17 maart 2021;Stimuleringsfonds Volkshuisvesting (SVN);Computerweg 11;3821 AA;AMERSFOORT;11.2021;Brengservice;AMF-4008
woensdag 17 maart 2021;Stimuleringsfonds Volkshuisvesting (SVN);Computerweg 11;3821 AA;AMERSFOORT;11.2021;Brengservice;AMF-4008
donderdag 18 maart 2021;Drogisterij Jonker Ede B.V.;Stadspoort 30;6716 RH;EDE GLD;11.2021;Hulpmiddelen - Logistiek;ED-5155
vrijdag 19 maart 2021;B Venema;Eemlaan 1;3812 ED;AMERSFOORT;11.2021;Oranje brievenbus;AMF-8010
zaterdag 20 maart 2021;SUPERMARKT VAN SOEST B.V.;Rademakerstraat 6;3769 BD;SOESTERBERG;11.2021;Hulpmiddelen - Logistiek;AMF-5504
maandag 22 maart 2021;Gemeente Veenendaal;RAADHUISPLEIN 1;3901 GA;VEENENDAAL;12.2021;Haalservice;ED-5103
maandag 22 maart 2021;Food Experience;PLESMANSTRAAT 31;3905 KZ;VEENENDAAL;12.2021;Haalservice;ED-5103
maandag 22 maart 2021;Jac. Cox Veenendaal B.V.;Einsteinstraat 2;3902 HN;Veenendaal;12.2021;Haalservice Retailer;ED-5102
maandag 22 maart 2021;Royal Topzorg B.V.;Maanlander 43;3824 MN;AMERSFOORT;12.2021;Hulpmiddelen - Logistiek;
maandag 22 maart 2021;Hockeyspullen.nl Ecom B.V.;Kapelweg 28;3818 BP;AMERSFOORT;12.2021;Hulpmiddelen - Logistiek;
